Class	Property	Count	Min. Ann.	Max. Ann.	Min	Max	Mean	0	1	2	3	4	5	6	7	8	9	10	11	12	13
dbo:Award	dbo:wikiPageWikiLink	47665	M0	ANY	0	3401	72.94941781	0.04626	0.00015	0.00315	0.00342	0.00453	0.00575	0.0082	0.00839	0.00938	0.01118	0.01198	0.01242	0.01362	0.01173
dbo:Award	rdf:type	47665	M1	ANY	1	49	10.02857443	0	0.06946	0.09919	0.10658	0.07781	0.06476	0.04175	0.02736	0.02008	0.01752	0.01886	0.02327	0.04057	0.03739
dbo:Award	owl:sameAs	47665	M0	ANY	0	123	9.01963705	0.04767	0.00657	0.03403	0.31105	0.13752	0.08065	0.05148	0.03793	0.0312	0.02375	0.02182	0.01647	0.01477	0.01372
dbo:Award	dc:subject	47665	M0	ANY	0	139	7.514276723	0.05115	0.09777	0.12781	0.11996	0.0826	0.06583	0.05071	0.04597	0.04085	0.03604	0.03262	0.02925	0.027	0.02429
dbo:Award	dbp:wikiPageUsesTemplate	47665	M0	ANY	0	150	7.225847058	0.06355	0.07643	0.09919	0.10276	0.09185	0.08398	0.07387	0.06441	0.05237	0.04393	0.03684	0.02973	0.02444	0.02138
dbo:Award	dbo:wikiPageWikiLinkText	47665	M0	ANY	0	331	4.373754327	0.02304	0.32118	0.19184	0.12177	0.08256	0.05671	0.0403	0.02914	0.02262	0.01769	0.01299	0.00992	0.00879	0.00743
dbo:Award	dbo:wikiPageExternalLink	47665	M0	ANY	0	533	2.214434071	0.35242	0.25232	0.143	0.0801	0.04737	0.03164	0.02194	0.01502	0.01104	0.0077	0.00673	0.00508	0.0043	0.00271
dbo:Award	dbo:wikiPageOutDegree	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dbo:wikiPageRevisionID	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	rdfs:label	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	prov:wasDerivedFrom	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	foaf:isPrimaryTopicOf	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dbo:wikiPageID	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dbo:wikiPageLength	47665	M1	M1	0	1	0.953781601	0.04622	0.95378	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dbo:abstract	47665	M1	M1	0	1	0.931270324	0.06873	0.93127	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	rdfs:comment	47665	M1	M1	0	1	0.931270324	0.06873	0.93127	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	gold:hypernym	47665	M0	M1	0	1	0.721871394	0.27813	0.72187	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	foaf:name	47665	M0	ANY	0	23	0.717696423	0.48379	0.34944	0.13687	0.02721	0.0017	0.00061	0.00021	0.00006	0	0.00002	0.00004	0	0.00002	0
dbo:Award	dbp:name	47665	M0	M1	0	49	0.690716459	0.44064	0.45436	0.0993	0.00399	0.00042	0.00008	0.00004	0.00008	0.00004	0.00004	0.00006	0	0.00008	0.00004
dbo:Award	dbp:title	47665	M0	M1	0	149	0.442987517	0.86449	0.07777	0.02291	0.009	0.00558	0.00348	0.00239	0.00149	0.0012	0.00073	0.00109	0.00082	0.00092	0.00082
dbo:Award	dbo:birthPlace	47665	M0	M1	0	6	0.381453897	0.78343	0.09439	0.0847	0.03306	0.00371	0.00065	0.00006	0	0	0	0	0	0	0
dbo:Award	dbp:birthPlace	47665	M0	M1	0	5	0.356278192	0.76459	0.14705	0.05912	0.0262	0.00283	0.00021	0	0	0	0	0	0	0	0
dbo:Award	dbo:thumbnail	47665	M0	M1	0	1	0.342368614	0.65763	0.34237	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	foaf:depiction	47665	M0	M1	0	1	0.342368614	0.65763	0.34237	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dce:description	47665	M0	ANY	0	4	0.283163747	0.85813	0.00063	0.14119	0.00002	0.00002	0	0	0	0	0	0	0	0	0
dbo:Award	dbo:birthDate	47665	M0	M1	0	2	0.27435225	0.72968	0.2663	0.00403	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dbp:caption	47665	M0	M1	0	17	0.269610826	0.76175	0.21437	0.02058	0.00197	0.0004	0.00029	0.00021	0.00019	0	0.0001	0.00002	0.00004	0.00002	0
dbo:Award	foaf:homepage	47665	M0	M1	0	8	0.258344697	0.75177	0.23873	0.00919	0.00017	0.00006	0.00006	0	0	0.00002	0	0	0	0	0
dbo:Award	dbp:genre	47665	M0	ANY	0	13	0.255302633	0.88872	0.05155	0.02192	0.01529	0.01024	0.00606	0.0034	0.00132	0.00078	0.00044	0.00017	0.00002	0.00006	0.00002
dbo:Award	dbp:birthDate	47665	M0	M1	0	5	0.251358439	0.7498	0.24947	0.00048	0.0001	0.00013	0.00002	0	0	0	0	0	0	0	0
dbo:Award	dbo:award	47665	M0	ANY	0	34	0.242169307	0.92877	0.01882	0.01406	0.01133	0.00875	0.00686	0.00407	0.00266	0.00145	0.00107	0.0008	0.00048	0.00029	0.00006
dbo:Award	dbo:genre	47665	M0	ANY	0	15	0.22567922	0.91058	0.03136	0.02184	0.01559	0.00965	0.00552	0.00298	0.00115	0.00069	0.0004	0.0001	0.00004	0.00004	0.00002
dbo:Award	dbo:occupation	47665	M0	ANY	0	30	0.208643659	0.89105	0.05742	0.02734	0.01305	0.006	0.00245	0.00151	0.00042	0.00019	0.00021	0.00006	0.00002	0.00006	0
dbo:Award	dbp:awards	47665	M0	ANY	0	41	0.207804469	0.92907	0.03082	0.01047	0.00856	0.00621	0.00514	0.00313	0.00237	0.00138	0.00086	0.00065	0.00048	0.00031	0.00002
dbo:Award	dbp:occupation	47665	M0	ANY	0	16	0.188440155	0.86	0.11526	0.01156	0.00734	0.00315	0.00168	0.00059	0.00021	0.00008	0.00004	0.00002	0.00004	0	0
dbo:Award	dbp:length	47665	M0	M1	0	65	0.179292982	0.97642	0.00944	0.00252	0.00088	0.00057	0.00042	0.0004	0.00034	0.00038	0.00055	0.00065	0.00061	0.00082	0.00073
dbo:Award	dbo:birthYear	47665	M0	M1	0	2	0.17522291	0.82545	0.17388	0.00067	0	0	0	0	0	0	0	0	0	0	0
dbo:Award	dbp:years	47665	M0	M1	0	40	0.172600441	0.9272	0.03636	0.01372	0.0094	0.00497	0.0029	0.0017	0.00136	0.00076	0.00048	0.00027	0.00029	0.00015	0.00006
dbo:Award	dbp:label	47665	M0	ANY	0	63	0.167019826	0.93081	0.03548	0.01158	0.00713	0.00579	0.00304	0.00248	0.00149	0.00078	0.00052	0.00031	0.00015	0.00017	0.00006
dbo:Award	foaf:givenName	47665	M0	M1	0	2	0.16494283	0.83976	0.15554	0.0047	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:wikiPageWikiLink	1767272	M0	ANY	0	3729	25.93144179	0.22098	0.00007	0.00031	0.00112	0.00222	0.00425	0.00705	0.01257	0.01571	0.01912	0.02165	0.02315	0.02329	0.02371
dbo:Person	rdf:type	1767272	M1	ANY	1	63	11.66141828	0	0.06028	0.01269	0.01036	0.01069	0.00963	0.00985	0.00735	0.00576	0.06502	0.05033	0.25452	0.08543	0.09195
dbo:Person	dc:subject	1767272	M0	ANY	0	241	6.139965438	0.22139	0.01061	0.02259	0.05742	0.08584	0.09668	0.09525	0.0807	0.0673	0.05459	0.04347	0.0335	0.02674	0.02086
dbo:Person	dbp:wikiPageUsesTemplate	1767272	M0	ANY	0	254	5.433079911	0.22341	0.01778	0.05125	0.08183	0.08917	0.09102	0.09204	0.07993	0.06362	0.04786	0.03729	0.02866	0.0223	0.01698
dbo:Person	owl:sameAs	1767272	M0	ANY	0	127	4.354713366	0.22581	0.00048	0.02463	0.32973	0.13981	0.07581	0.04658	0.03237	0.02332	0.01756	0.01344	0.01049	0.00831	0.00668
dbo:Person	dbo:wikiPageWikiLinkText	1767272	M0	ANY	0	511	1.569533156	0.20629	0.45115	0.19731	0.07245	0.02975	0.01451	0.00807	0.00504	0.00331	0.00234	0.0016	0.0013	0.00103	0.00078
dbo:Person	foaf:name	1767272	M1	ANY	0	1175	1.479583222	0.1646	0.34532	0.39787	0.08226	0.00806	0.00071	0.00037	0.00014	0.00007	0.00004	0.00003	0.00002	0.00005	0.00002
dbo:Person	dbo:wikiPageExternalLink	1767272	M0	ANY	0	707	1.162457166	0.58994	0.17632	0.09567	0.04999	0.02834	0.01719	0.01122	0.00749	0.00516	0.00376	0.00278	0.00212	0.00168	0.00127
dbo:Person	dbp:name	1767272	M0	ANY	0	1176	1.013392392	0.33548	0.3904	0.26486	0.00569	0.00096	0.0004	0.00037	0.00023	0.00023	0.00015	0.00013	0.00011	0.00012	0.00008
dbo:Person	dce:description	1767272	M0	ANY	0	15	0.973043199	0.50994	0.00741	0.48247	0.00002	0.00015	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:wikiPageOutDegree	1767272	M1	M1	0	2	0.77904816	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:wikiPageRevisionID	1767272	M1	M1	0	2	0.77904816	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	prov:wasDerivedFrom	1767272	M1	M1	0	2	0.77904816	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:wikiPageID	1767272	M1	M1	0	2	0.77904816	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:wikiPageLength	1767272	M1	M1	0	2	0.77904816	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	rdfs:label	1767272	M1	M1	0	1	0.779047028	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	foaf:isPrimaryTopicOf	1767272	M1	M1	0	1	0.779047028	0.22095	0.77905	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	rdfs:comment	1767272	M0	M1	0	1	0.76408159	0.23592	0.76408	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:abstract	1767272	M0	M1	0	1	0.764073102	0.23593	0.76407	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	gold:hypernym	1767272	M0	M1	0	1	0.725566297	0.27443	0.72557	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:birthPlace	1767272	M0	ANY	0	33	0.643218475	0.62563	0.16292	0.16038	0.04589	0.00456	0.0005	0.00005	0.00001	0	0	0	0	0	0.00001
dbo:Person	dbp:birthPlace	1767272	M0	ANY	0	34	0.572460832	0.63304	0.20327	0.12523	0.03586	0.00242	0.00013	0.00001	0	0	0	0	0	0.00001	0
dbo:Person	dbo:birthDate	1767272	M0	M1	0	25	0.559096166	0.45503	0.53136	0.01355	0	0	0	0	0	0	0	0	0	0.00003	0
dbo:Person	dbo:team	1767272	M0	ANY	0	20	0.531064828	0.81069	0.11978	0.00873	0.00898	0.00921	0.00897	0.00797	0.00668	0.0055	0.00411	0.00314	0.00211	0.00155	0.0011
dbo:Person	dbp:years	1767272	M0	M1	0	40	0.526697645	0.82815	0.07049	0.02834	0.01902	0.01402	0.01081	0.00851	0.00659	0.0049	0.00338	0.00237	0.0015	0.00088	0.0005
dbo:Person	dbo:careerStation	1767272	M0	ANY	0	28	0.520818527	0.92745	0.00308	0.00547	0.00609	0.00679	0.00712	0.0069	0.00667	0.00608	0.00534	0.00443	0.0035	0.00285	0.00221
dbo:Person	dbp:shortDescription	1767272	M0	M1	0	8	0.491240171	0.5102	0.48875	0.0007	0.00033	0.00002	0	0	0	0	0	0	0	0	0
dbo:Person	foaf:givenName	1767272	M0	M1	0	5	0.474504208	0.53196	0.46161	0.00641	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:birthYear	1767272	M0	M1	0	4	0.459594788	0.54207	0.45628	0.00165	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	foaf:surname	1767272	M0	M1	0	2	0.456922307	0.54309	0.4569	0.00001	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbp:dateOfBirth	1767272	M0	M1	0	4	0.420163959	0.57995	0.41993	0.00011	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbp:birthDate	1767272	M0	M1	0	29	0.40238854	0.59937	0.39976	0.00063	0.00013	0.00005	0.00001	0	0	0	0	0	0	0.00003	0
dbo:Person	dbp:clubs	1767272	M0	ANY	0	32	0.368366047	0.92452	0.01063	0.00997	0.01016	0.00935	0.00831	0.00693	0.0056	0.00427	0.00313	0.00226	0.00167	0.00112	0.00072
dbo:Person	dbp:placeOfBirth	1767272	M0	M1	0	5	0.367943361	0.72996	0.18885	0.06538	0.01495	0.00083	0.00004	0	0	0	0	0	0	0	0
dbo:Person	dbp:caps	1767272	M0	ANY	0	36	0.285295076	0.93616	0.00993	0.00964	0.00903	0.00804	0.00697	0.00577	0.00453	0.00336	0.00237	0.00166	0.00109	0.00067	0.00035
dbo:Person	foaf:depiction	1767272	M0	M1	0	3	0.239840839	0.76017	0.23982	0.00001	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:thumbnail	1767272	M0	M1	0	1	0.239828957	0.76017	0.23983	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:deathDate	1767272	M0	M1	0	4	0.237893205	0.76674	0.22864	0.00462	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbo:deathYear	1767272	M0	M1	0	4	0.206846484	0.79359	0.20597	0.00043	0	0	0	0	0	0	0	0	0	0	0
dbo:Person	dbp:goals	1767272	M0	ANY	0	369	0.204372615	0.93343	0.01997	0.01372	0.011	0.00822	0.00558	0.00345	0.00204	0.00118	0.00066	0.00035	0.00017	0.00008	0.00003
dbo:Place	dbo:wikiPageWikiLink	925383	M0	ANY	0	5857	22.55306506	0.01187	0.00006	0.00122	0.00637	0.01838	0.02552	0.03762	0.04429	0.04968	0.05758	0.05289	0.05851	0.05696	0.10745
dbo:Place	rdf:type	925383	M1	ANY	1	53	10.15117849	0	0.00551	0.01165	0.01328	0.02301	0.01721	0.02188	0.03368	0.12921	0.09739	0.20276	0.15238	0.1124	0.07955
dbo:Place	owl:sameAs	925383	M0	ANY	0	128	9.077337708	0.02003	0.00215	0.00918	0.20884	0.16798	0.12221	0.09083	0.05335	0.04213	0.03027	0.02305	0.01694	0.0134	0.01384
dbo:Place	dbp:wikiPageUsesTemplate	925383	M0	ANY	0	194	6.447149991	0.01269	0.00638	0.02489	0.07982	0.13986	0.16604	0.18566	0.11875	0.08672	0.05785	0.03467	0.02107	0.01549	0.01219
dbo:Place	dc:subject	925383	M0	ANY	0	89	2.641016747	0.02048	0.38111	0.22025	0.13592	0.08374	0.05911	0.03745	0.02254	0.01399	0.00857	0.00544	0.00355	0.00229	0.00156
dbo:Place	dbo:wikiPageWikiLinkText	925383	M0	ANY	0	648	2.107974752	0.04935	0.47018	0.28363	0.08574	0.0411	0.02155	0.01292	0.00842	0.00561	0.00422	0.00295	0.00223	0.00176	0.0014
dbo:Place	dbp:subdivisionType	925383	M0	ANY	0	9	1.403788485	0.60263	0.00331	0.0449	0.16265	0.11292	0.07146	0.00124	0.00085	0.00004	0	0	0	0	0
dbo:Place	dbp:subdivisionName	925383	M0	ANY	0	44	1.128073457	0.60808	0.04661	0.09468	0.11907	0.1256	0.00423	0.00138	0.00018	0.00006	0.00003	0.00002	0.00002	0.00001	0.00001
dbo:Place	dbo:wikiPageExternalLink	925383	M0	ANY	0	887	1.096956611	0.54695	0.23091	0.09517	0.0473	0.02788	0.01783	0.01012	0.00632	0.00441	0.00298	0.00215	0.00155	0.00117	0.00089
dbo:Place	foaf:name	925383	M0	ANY	0	98	1.008639666	0.17275	0.65907	0.15787	0.00845	0.00131	0.00039	0.00009	0.00003	0.00001	0.00001	0.00001	0	0	0
dbo:Place	dbo:wikiPageOutDegree	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:wikiPageRevisionID	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	rdfs:label	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	prov:wasDerivedFrom	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	foaf:isPrimaryTopicOf	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:wikiPageID	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:wikiPageLength	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:isPartOf	925383	M0	ANY	0	43	0.969599614	0.60601	0.05993	0.16374	0.10128	0.06797	0.0007	0.00017	0.00007	0.00003	0.00003	0.00001	0.00002	0.00001	0.00001
dbo:Place	rdfs:comment	925383	M0	M1	0	1	0.969109007	0.03089	0.96911	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:abstract	925383	M1	M1	0	1	0.969096039	0.0309	0.9691	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	gold:hypernym	925383	M0	M1	0	1	0.892288923	0.10771	0.89229	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	geo:lat	925383	M0	M1	0	9	0.819324539	0.20516	0.77042	0.02438	0.00003	0.00001	0.00001	0	0	0	0	0	0	0	0
dbo:Place	georss:point	925383	M0	M1	0	10	0.819021962	0.20885	0.76336	0.02776	0.00003	0.00001	0.00001	0	0	0	0	0	0	0	0
dbo:Place	geo:long	925383	M0	M1	0	9	0.818560531	0.20516	0.77118	0.02362	0.00003	0.00001	0.00001	0	0	0	0	0	0	0	0
dbo:Place	dbo:country	925383	M0	M1	0	20	0.600203375	0.42191	0.5583	0.01773	0.00197	0.00003	0.00002	0.00001	0.00001	0.00001	0	0	0	0	0
dbo:Place	dbp:name	925383	M0	M1	0	300	0.596046178	0.43721	0.54961	0.01061	0.00134	0.00043	0.00013	0.00003	0.00003	0.00002	0.00001	0	0.00001	0.00001	0.00001
dbo:Place	foaf:depiction	925383	M0	M1	0	7	0.495348412	0.50723	0.49041	0.00217	0.00016	0.00002	0.00001	0	0	0	0	0	0	0	0
dbo:Place	dbo:thumbnail	925383	M0	M1	0	1	0.492747327	0.50725	0.49275	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:utcOffset	925383	M0	ANY	0	5	0.474206896	0.72046	0.08495	0.19454	0.00001	0.00003	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:location	925383	M0	M1	0	152	0.378404401	0.78344	0.12859	0.05672	0.02187	0.0047	0.00135	0.00063	0.00044	0.00029	0.00026	0.00022	0.00017	0.00014	0.00012
dbo:Place	dbp:latns	925383	M0	M1	0	1	0.372044872	0.62796	0.37204	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:longew	925383	M0	M1	0	1	0.372021098	0.62798	0.37202	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:longd	925383	M0	M1	0	9	0.358289487	0.64176	0.35821	0.00003	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:latd	925383	M0	M1	0	7	0.358273277	0.64176	0.35821	0.00003	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:settlementType	925383	M0	M1	0	5	0.350475425	0.65033	0.3489	0.00075	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:populationTotal	925383	M0	M1	0	4	0.348689137	0.65309	0.34515	0.00176	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:timeZone	925383	M0	M1	0	4	0.33198038	0.725	0.21805	0.05693	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:longm	925383	M0	M1	0	4	0.316326321	0.68369	0.31629	0.00001	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:latm	925383	M0	M1	0	5	0.316326321	0.6837	0.31628	0.00002	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:timezone	925383	M0	M1	0	6	0.295520882	0.70467	0.29519	0.00012	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageWikiLink	164068	M0	ANY	0	1946	40.10778458	0.01966	0.00018	0.00163	0.00395	0.00732	0.01149	0.01562	0.02147	0.02341	0.02573	0.02754	0.02781	0.02814	0.02818
dbo:Organization	rdf:type	164068	M1	ANY	2	63	11.20979106	0	0	0.01276	0.04651	0.08091	0.08816	0.07633	0.05644	0.03494	0.02732	0.0262	0.03486	0.04279	0.05301
dbo:Organization	owl:sameAs	164068	M0	ANY	0	127	5.643806227	0.01309	0.00718	0.00887	0.48225	0.1714	0.07969	0.04684	0.03201	0.02442	0.02163	0.01755	0.01324	0.00932	0.00791
dbo:Organization	dbp:wikiPageUsesTemplate	164068	M0	ANY	0	239	5.559944657	0.03764	0.07009	0.11203	0.13234	0.13342	0.12235	0.09792	0.07552	0.05556	0.03926	0.02815	0.02027	0.0152	0.01136
dbo:Organization	dc:subject	164068	M0	ANY	0	215	4.833349587	0.02292	0.05604	0.11328	0.16318	0.18578	0.15035	0.10345	0.06781	0.04483	0.02888	0.01888	0.01287	0.00865	0.00569
dbo:Organization	dbo:wikiPageWikiLinkText	164068	M0	ANY	0	282	3.681034693	0.03375	0.38227	0.20306	0.11451	0.06997	0.04462	0.03005	0.02136	0.01566	0.01223	0.00987	0.00778	0.00655	0.0055
dbo:Organization	dbo:wikiPageExternalLink	164068	M0	ANY	0	744	2.935380452	0.18409	0.27784	0.18914	0.11412	0.07043	0.04405	0.02954	0.02026	0.01438	0.01052	0.00775	0.00588	0.00452	0.0035
dbo:Organization	dbo:wikiPageOutDegree	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageRevisionID	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	rdfs:label	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	prov:wasDerivedFrom	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	foaf:isPrimaryTopicOf	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageID	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageLength	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	rdfs:comment	164068	M0	M1	0	1	0.958693956	0.04131	0.95869	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:abstract	164068	M1	M1	0	1	0.958669576	0.04133	0.95867	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	gold:hypernym	164068	M0	M1	0	1	0.81235829	0.18764	0.81236	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	foaf:name	164068	M0	ANY	0	33	0.628568642	0.49034	0.41732	0.0735	0.01573	0.00192	0.0004	0.00023	0.00015	0.00012	0.00007	0.00003	0.00005	0.00002	0.00002
