"DataMin","DataMax","Class"
0,3401,"M0"
1,49,"M1"
0,123,"M0"
0,139,"M0"
0,150,"M0"
0,331,"M0"
0,533,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M0"
0,23,"M0"
0,49,"M0"
0,149,"M0"
0,6,"M0"
0,5,"M0"
0,1,"M0"
0,1,"M0"
0,4,"M0"
0,2,"M0"
0,17,"M0"
0,8,"M0"
0,13,"M0"
0,5,"M0"
0,34,"M0"
0,15,"M0"
0,30,"M0"
0,41,"M0"
0,16,"M0"
0,65,"M0"
0,2,"M0"
0,40,"M0"
0,63,"M0"
0,2,"M0"
0,3729,"M0"
1,63,"M1"
0,241,"M0"
0,254,"M0"
0,127,"M0"
0,511,"M0"
0,1175,"M1"
0,707,"M0"
0,1176,"M0"
0,15,"M0"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M0"
0,1,"M0"
0,1,"M0"
0,33,"M0"
0,34,"M0"
0,25,"M0"
0,20,"M0"
0,40,"M0"
0,28,"M0"
0,8,"M0"
0,5,"M0"
0,4,"M0"
0,2,"M0"
0,4,"M0"
0,29,"M0"
0,32,"M0"
0,5,"M0"
0,36,"M0"
0,3,"M0"
0,1,"M0"
0,4,"M0"
0,4,"M0"
0,369,"M0"
0,5857,"M0"
1,53,"M1"
0,128,"M0"
0,194,"M0"
0,89,"M0"
0,648,"M0"
0,9,"M0"
0,44,"M0"
0,887,"M0"
0,98,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,43,"M0"
0,1,"M0"
0,1,"M1"
0,1,"M0"
0,9,"M0"
0,10,"M0"
0,9,"M0"
0,20,"M0"
0,300,"M0"
0,7,"M0"
0,1,"M0"
0,5,"M0"
0,152,"M0"
0,1,"M0"
0,1,"M0"
0,9,"M0"
0,7,"M0"
0,5,"M0"
0,4,"M0"
0,4,"M0"
0,4,"M0"
0,5,"M0"
0,6,"M0"
0,1946,"M0"
2,63,"M1"
0,127,"M0"
0,239,"M0"
0,215,"M0"
0,282,"M0"
0,744,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M0"
0,1,"M1"
0,1,"M0"
0,33,"M0"
0,465,"M0"
0,18,"M0"
0,2,"M0"
0,1,"M0"
0,20,"M0"
0,94,"M0"
0,51,"M0"
0,31,"M0"
0,16,"M0"
0,16,"M0"
0,465,"M0"
0,15,"M0"
0,8,"M0"
0,6,"M0"
0,6,"M0"
0,6,"M0"
0,20,"M0"
0,31,"M0"
0,55,"M0"
0,68,"M0"
0,9,"M0"
0,16,"M0"
0,2451,"M0"
1,24,"M1"
0,63,"M0"
0,121,"M0"
0,48,"M0"
0,274,"M0"
0,722,"M0"
0,90,"M0"
0,34,"M0"
0,33,"M0"
0,144,"M0"
0,32,"M0"
0,40,"M0"
0,51,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,27,"M0"
0,81,"M0"
0,1,"M0"
0,1,"M1"
0,44,"M0"
0,16,"M0"
0,41,"M0"
0,1,"M0"
0,30,"M0"
0,51,"M0"
0,51,"M0"
0,26,"M0"
0,26,"M0"
0,7,"M0"
0,37,"M0"
0,9,"M0"
0,10,"M0"
0,36,"M0"
0,192,"M0"
0,4827,"M0"
1,49,"M1"
0,98,"M0"
0,73,"M0"
0,120,"M0"
0,71,"M0"
0,65,"M0"
0,514,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,33,"M0"
0,1,"M0"
0,1,"M1"
0,66,"M0"
0,119,"M1"
0,325,"M0"
0,119,"M0"
0,1,"M0"
0,26,"M0"
0,21,"M0"
0,21,"M0"
0,15,"M0"
0,608,"M0"
0,26,"M0"
0,20,"M0"
0,30,"M0"
0,11,"M0"
0,11,"M0"
0,17,"M0"
0,21,"M0"
0,26,"M0"
0,13,"M0"
0,22,"M0"
0,21,"M0"
0,13,"M0"
0,1654,"M0"
0,119,"M0"
0,255,"M0"
0,141,"M0"
1,21,"M1"
0,176,"M0"
0,17,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M0"
0,1,"M0"
0,1,"M0"
0,200,"M0"
0,9,"M0"
0,8,"M0"
0,4,"M0"
0,6,"M0"
0,11,"M0"
0,1,"M0"
0,9,"M0"
0,5,"M0"
0,257,"M0"
0,2,"M0"
0,234,"M0"
0,32,"M0"
0,5,"M0"
0,3,"M0"
0,2,"M0"
0,4,"M0"
0,3,"M0"
0,1,"M0"
0,1,"M0"
0,1,"M0"
0,887,"M0"
0,114,"M0"
1,23,"M1"
0,110,"M0"
0,32,"M0"
0,306,"M0"
0,196,"M0"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,1,"M1"
0,1,"M1"
0,20,"M0"
0,1,"M0"
0,1,"M1"
0,1,"M0"
0,13,"M0"
0,1,"M0"
0,1,"M0"
0,6,"M0"
0,6,"M0"
0,5,"M0"
0,11,"M0"
0,5,"M0"
0,10,"M0"
0,8,"M0"
0,119,"M0"
0,9,"M0"
0,3,"M0"
0,7,"M0"
0,23,"M0"
0,12,"M0"
0,5,"M0"
0,37,"M0"
0,12,"M0"
0,2,"M0"
0,4,"M0"
0,62,"M0"
0,3234,"M0"
1,40,"M1"
0,288,"M0"
0,127,"M0"
0,364,"M0"
0,207,"M0"
0,634,"M0"
0,541,"M0"
0,307,"M0"
0,207,"M0"
0,405,"M0"
0,304,"M0"
0,432,"M0"
0,494,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,588,"M0"
0,1,"M0"
0,1,"M0"
0,220,"M0"
0,250,"M0"
0,1035,"M0"
0,110,"M0"
0,99,"M0"
0,1,"M0"
0,103,"M0"
0,198,"M0"
0,79,"M0"
0,2,"M0"
0,1,"M0"
0,233,"M0"
0,68,"M0"
0,58,"M0"
0,154,"M0"
0,57,"M0"
0,950,"M0"
0,117,"M0"
0,129,"M0"
1,24,"M1"
0,173,"M0"
0,52,"M0"
0,140,"M0"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M0"
0,17,"M0"
0,1,"M0"
0,1,"M0"
0,152,"M0"
0,14,"M0"
0,13,"M0"
0,5,"M0"
0,5,"M0"
0,13,"M0"
0,14,"M0"
0,20,"M0"
0,34,"M0"
0,10,"M0"
0,10,"M0"
0,42,"M0"
0,6,"M0"
0,18,"M0"
0,10,"M0"
0,4,"M0"
0,2,"M0"
0,26,"M0"
0,3,"M0"
0,4,"M0"
